,query,time
11,"imageflow_tool v1/querystring --in in/5.jpg --out out/water9987.jpg --command ""s.grayscale=sepia&s.grayscale=sepia&s.grayscale=true&rotate=180&s.grayscale=true""",0.097932
12,"imageflow_tool v1/querystring --in in/43.jpeg --out out/water9988.jpg --command ""s.contrast=0.5&s.alpha=0.9&s.grayscale=true""",0.276677
13,"imageflow_tool v1/querystring --in in/4.jpg --out out/water9984.jpg --command ""f.sharpenwhen=always&f.sharpen=20&h=600&format=webp&webp.quality=50""",0.088996
14,"imageflow_tool v1/querystring --in in/28.jpeg --out out/water9983.jpg --command ""rotate=270&s.grayscale=true&s.brightness=0.2""",0.09732
15,"imageflow_tool v1/querystring --in in/44.webp --out out/water9982.jpg --command ""srotate=90&s.contrast=0.3&s.saturation=-0.2&f.sharpenwhen=always&f.sharpen=30""",0.042622
16,"imageflow_tool v1/querystring --in in/2.jpg --out out/water9981.jpg --command ""s.contrast=-0.0&s.alpha=0.8&h=200&format=webp&webp.quality=10""",0.021536
17,"imageflow_tool v1/querystring --in in/13.jpg --out out/water9979.jpg --command ""f.sharpenwhen=always&f.sharpen=40&s.alpha=0.5&srotate=270&f.sharpenwhen=always&f.sharpen=80&format=webp&webp.lossless=true""",0.145748
18,"imageflow_tool v1/querystring --in in/3.webp --out out/water9977.jpg --command ""format=png&png.quality=50&rotate=270&rotate=90""",0.13584
19,"imageflow_tool v1/querystring --in in/23.webp --out out/water9974.jpg --command ""s.grayscale=sepia&s.brightness=0.9&srotate=180&f.sharpenwhen=always&f.sharpen=40""",0.052368
20,"imageflow_tool v1/querystring --in in/17.jpeg --out out/water9973.jpg --command ""s.grayscale=sepia&format=webp&webp.quality=70&format=jpeg&jpeg.turbo=true&jpeg.quality=10&s.brightness=0.1&f.sharpenwhen=always&f.sharpen=30""",0.013709
21,"imageflow_tool v1/querystring --in in/42.webp --out out/water9975.jpg --command ""s.contrast=-0.2&s.grayscale=true&format=png&png.quality=60&format=png&png.quality=0&flip=x""",0.195235
22,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9972.jpg --command ""srotate=180&format=png&s.brightness=-0.2&s.saturation=-0.2""",0.155163
23,"imageflow_tool v1/querystring --in in/4.jpg --out out/water9971.jpg --command ""format=webp&webp.quality=50&flip=x&s.grayscale=true&s.brightness=-0.9""",0.069281
24,"imageflow_tool v1/querystring --in in/35.webp --out out/water9970.jpg --command ""flip=y&s.brightness=-0.4&s.saturation=0.1&rotate=90""",0.125378
25,"imageflow_tool v1/querystring --in in/39.webp --out out/water9968.jpg --command ""s.grayscale=true&format=png&rotate=90""",0.106538
26,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9966.jpg --command ""w=800&s.grayscale=sepia&s.contrast=-0.9&s.grayscale=true&w=600""",0.052695
27,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9967.jpg --command ""srotate=90&s.grayscale=true&flip=x&s.saturation=-0.8&s.brightness=-0.3""",0.132304
28,"imageflow_tool v1/querystring --in in/34.webp --out out/water9986.jpg --command ""s.contrast=0.9&flip=x&srotate=270&format=webp&webp.lossless=true&format=jpeg&jpeg.turbo=true""",1.429959
29,"imageflow_tool v1/querystring --in in/31.jpeg --out out/water9963.jpg --command ""flip=xy&flip=x&s.contrast=1.0&srotate=90""",0.100771
30,"imageflow_tool v1/querystring --in in/11.jpg --out out/water9961.jpg --command ""s.brightness=0.4&f.sharpenwhen=always&f.sharpen=50&srotate=270&s.grayscale=sepia""",0.113436
31,"imageflow_tool v1/querystring --in in/41.webp --out out/water9962.jpg --command ""h=400&format=webp&webp.lossless=true&rotate=180&s.alpha=0.4&s.contrast=-0.9""",0.193612
32,"imageflow_tool v1/querystring --in in/40.webp --out out/water9959.jpg --command ""srotate=180&w=1000&w=800&h=1000""",0.070358
33,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9958.jpg --command ""s.grayscale=true&rotate=90&format=jpeg&jpeg.turbo=true&f.sharpenwhen=always&f.sharpen=80""",0.046022
34,"imageflow_tool v1/querystring --in in/15.jpg --out out/water9965.jpg --command ""h=200&format=jpeg&jpeg.turbo=true&s.alpha=0.1""",0.484042
35,"imageflow_tool v1/querystring --in in/20.webp --out out/water9957.jpg --command ""s.saturation=0.9&w=600&rotate=270""",0.041553
36,"imageflow_tool v1/querystring --in in/tiles.jpg --out out/water9980.jpg --command ""s.alpha=0.6&f.sharpenwhen=always&f.sharpen=10&format=png&s.alpha=0.1&s.grayscale=true""",1.550726
37,"imageflow_tool v1/querystring --in in/tiles.jpg --out out/water9956.jpg --command ""s.grayscale=true&f.sharpenwhen=always&f.sharpen=10&h=400&s.saturation=-0.1""",0.221868
38,"imageflow_tool v1/querystring --in in/34.webp --out out/water9955.jpg --command ""s.grayscale=true&h=400&s.contrast=0.4""",0.123488
39,"imageflow_tool v1/querystring --in in/26.jpg --out out/water9954.jpg --command ""s.contrast=0.5&format=png&png.quality=10&format=jpeg&s.brightness=-0.2""",0.201949
40,"imageflow_tool v1/querystring --in in/34.webp --out out/water9964.jpg --command ""s.saturation=-0.3&format=png&png.quality=60&format=jpeg&jpeg.quality=40""",0.857997
41,"imageflow_tool v1/querystring --in in/22.jpg --out out/water9951.jpg --command ""h=800&rotate=180&rotate=90""",0.127344
42,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9950.jpg --command ""format=png&format=webp&webp.quality=100&s.contrast=-0.6""",0.134459
43,"imageflow_tool v1/querystring --in in/20.webp --out out/water9948.jpg --command ""w=400&format=webp&webp.lossless=true&s.grayscale=true&format=jpeg&jpeg.quality=40&s.grayscale=sepia""",0.06549
44,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9946.jpg --command ""s.brightness=0.2&srotate=270&s.grayscale=sepia&s.grayscale=sepia&format=webp&webp.quality=60""",0.081386
45,"imageflow_tool v1/querystring --in in/46.webp --out out/water9952.jpg --command ""s.brightness=0.3&format=webp&webp.lossless=true&f.sharpenwhen=always&f.sharpen=90&s.alpha=1.0""",0.52416
46,"imageflow_tool v1/querystring --in in/11.jpg --out out/water9944.jpg --command ""s.contrast=-0.5&rotate=270&s.contrast=0.9&w=600&s.saturation=-0.5""",0.082906
47,"imageflow_tool v1/querystring --in in/4.jpg --out out/water9978.jpg --command ""h=400&s.grayscale=true&w=400&s.saturation=0.2""",2.139705
48,"imageflow_tool v1/querystring --in in/18.jpeg --out out/water9943.jpg --command ""format=webp&webp.lossless=true&s.grayscale=sepia&s.grayscale=sepia&srotate=180&s.contrast=-0.1""",0.086941
49,"imageflow_tool v1/querystring --in in/24.jpg --out out/water9945.jpg --command ""f.sharpenwhen=always&f.sharpen=80&s.saturation=0.1&format=webp&webp.lossless=true&s.grayscale=sepia""",0.245554
50,"imageflow_tool v1/querystring --in in/40.webp --out out/water9941.jpg --command ""flip=x&s.saturation=0.4&rotate=180""",0.067211
51,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9942.jpg --command ""f.sharpenwhen=always&f.sharpen=10&h=1000&h=600&h=400&f.sharpenwhen=always&f.sharpen=70""",0.176349
52,"imageflow_tool v1/querystring --in in/15.jpg --out out/water9949.jpg --command ""s.alpha=0.2&s.alpha=0.8&w=400""",0.771579
53,"imageflow_tool v1/querystring --in in/2.jpg --out out/water9939.jpg --command ""h=1000&rotate=270&srotate=270&format=png""",0.204448
54,"imageflow_tool v1/querystring --in in/22.jpg --out out/water9936.jpg --command ""s.grayscale=true&s.saturation=0.5&s.saturation=-0.6""",0.101259
55,"imageflow_tool v1/querystring --in in/16.webp --out out/water9935.jpg --command ""s.alpha=0.5&w=600&format=webp&webp.quality=30&s.contrast=0.0""",0.052144
56,"imageflow_tool v1/querystring --in in/6.jpg --out out/water9937.jpg --command ""flip=xy&s.brightness=0.6&s.contrast=0.6""",0.21746
57,"imageflow_tool v1/querystring --in in/12.webp --out out/water9934.jpg --command ""s.grayscale=sepia&flip=y&flip=x&s.brightness=0.6&flip=x""",0.040575
58,"imageflow_tool v1/querystring --in in/24.jpg --out out/water9930.jpg --command ""s.grayscale=sepia&s.saturation=-0.9&format=jpeg&jpeg.turbo=true&h=1000&format=webp&webp.quality=60""",0.013568
59,"imageflow_tool v1/querystring --in in/31.jpeg --out out/water9976.jpg --command ""s.alpha=0.1&h=1000&srotate=270""",2.804709
60,"imageflow_tool v1/querystring --in in/11.jpg --out out/water9928.jpg --command ""s.saturation=-0.1&srotate=180&format=jpeg&jpeg.turbo=true""",0.013341
61,"imageflow_tool v1/querystring --in in/27.jpg --out out/water9927.jpg --command ""s.contrast=0.5&s.grayscale=sepia&format=webp&webp.quality=10&format=png&png.quality=50""",0.08344
62,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9924.jpg --command ""s.grayscale=true&s.grayscale=true&h=800""",0.141013
63,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9923.jpg --command ""s.brightness=-1.0&s.grayscale=true&srotate=180""",0.11435
64,"imageflow_tool v1/querystring --in in/37.webp --out out/water9922.jpg --command ""format=webp&webp.quality=90&rotate=90&format=webp&webp.quality=20&s.grayscale=sepia""",0.089573
65,"imageflow_tool v1/querystring --in in/24.jpg --out out/water9920.jpg --command ""h=200&format=webp&webp.quality=60&s.grayscale=sepia&s.grayscale=true&s.grayscale=true""",0.045169
66,"imageflow_tool v1/querystring --in in/26.jpg --out out/water9919.jpg --command ""h=600&w=200&format=png&png.quality=50&s.alpha=0.3&f.sharpenwhen=always&f.sharpen=50""",0.071034
67,"imageflow_tool v1/querystring --in in/1.jpeg --out out/water9918.jpg --command ""s.grayscale=sepia&s.brightness=-0.5&format=png&png.quality=20&flip=x""",0.093267
68,"imageflow_tool v1/querystring --in in/45.webp --out out/water9917.jpg --command ""s.contrast=0.1&s.saturation=0.5&srotate=270&s.brightness=0.0""",0.136511
69,"imageflow_tool v1/querystring --in in/5.jpg --out out/water9916.jpg --command ""format=webp&webp.lossless=true&h=200&s.saturation=-0.6&s.saturation=0.7&s.saturation=0.5""",0.098363
70,"imageflow_tool v1/querystring --in in/3.webp --out out/water9938.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=40&f.sharpenwhen=always&f.sharpen=50&s.alpha=0.8&h=400&s.brightness=0.8""",2.268613
71,"imageflow_tool v1/querystring --in in/44.webp --out out/water9953.jpg --command ""flip=xy&format=jpeg&jpeg.turbo=true&jpeg.quality=70&format=jpeg&jpeg.turbo=true&jpeg.quality=20""",3.276023
72,"imageflow_tool v1/querystring --in in/2.jpg --out out/water9913.jpg --command ""s.contrast=-0.2&w=400&s.grayscale=sepia""",0.12055
73,"imageflow_tool v1/querystring --in in/14.jpg --out out/water9912.jpg --command ""format=jpeg&jpeg.turbo=true&srotate=270&s.contrast=-0.1&srotate=90""",0.028214
74,"imageflow_tool v1/querystring --in in/39.webp --out out/water9911.jpg --command ""format=webp&webp.quality=40&format=png&rotate=90&format=jpeg&jpeg.turbo=true&jpeg.quality=0&h=800""",0.083494
75,"imageflow_tool v1/querystring --in in/26.jpg --out out/water9909.jpg --command ""s.alpha=0.5&format=webp&webp.lossless=true&format=png&png.quality=90""",0.600736
76,"imageflow_tool v1/querystring --in in/18.jpeg --out out/water9908.jpg --command ""s.saturation=-0.3&format=png&png.quality=90&rotate=180&s.grayscale=sepia&srotate=180""",0.261631
77,"imageflow_tool v1/querystring --in in/8.jpeg --out out/water9907.jpg --command ""flip=y&f.sharpenwhen=always&f.sharpen=30&format=jpeg&s.brightness=0.2""",0.040349
78,"imageflow_tool v1/querystring --in in/44.webp --out out/water9960.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=0&srotate=90&s.contrast=-0.6""",5.196898
79,"imageflow_tool v1/querystring --in in/47.webp --out out/water9906.jpg --command ""h=800&s.saturation=0.4&flip=x""",0.101922
80,"imageflow_tool v1/querystring --in in/3.webp --out out/water9905.jpg --command ""h=200&s.alpha=0.9&w=600""",0.030294
81,"imageflow_tool v1/querystring --in in/45.webp --out out/water9904.jpg --command ""s.saturation=-0.6&h=600&s.grayscale=sepia""",0.119334
82,"imageflow_tool v1/querystring --in in/12.webp --out out/water9925.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=10&s.alpha=0.2&s.contrast=-1.0&s.grayscale=true""",3.714961
83,"imageflow_tool v1/querystring --in in/46.webp --out out/water9902.jpg --command ""w=800&rotate=270&format=png&format=png&s.contrast=-0.6""",0.214685
84,"imageflow_tool v1/querystring --in in/29.jpg --out out/water9903.jpg --command ""s.alpha=0.9&s.saturation=0.1&format=webp&webp.lossless=true&s.saturation=-0.2&h=400""",0.418331
85,"imageflow_tool v1/querystring --in in/29.jpg --out out/water9900.jpg --command ""s.grayscale=sepia&f.sharpenwhen=always&f.sharpen=40&s.grayscale=sepia""",0.13544
86,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9899.jpg --command ""w=400&format=png&png.quality=80&format=webp&webp.quality=80&rotate=270&format=webp&webp.lossless=true""",0.245964
87,"imageflow_tool v1/querystring --in in/12.webp --out out/water9915.jpg --command ""f.sharpenwhen=always&f.sharpen=80&f.sharpenwhen=always&f.sharpen=80&s.contrast=-0.0&format=jpeg&jpeg.turbo=true&jpeg.quality=20&s.grayscale=true""",3.468615
88,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9898.jpg --command ""h=800&srotate=180&s.saturation=0.1""",0.168943
89,"imageflow_tool v1/querystring --in in/48.jpg --out out/water9897.jpg --command ""s.saturation=0.7&s.saturation=-0.0&h=200&flip=y&format=png""",0.044909
90,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9914.jpg --command ""w=800&s.alpha=0.2&s.grayscale=true&s.grayscale=sepia""",3.483429
91,"imageflow_tool v1/querystring --in in/44.webp --out out/water9896.jpg --command ""s.grayscale=sepia&s.grayscale=sepia&srotate=180""",0.036499
92,"imageflow_tool v1/querystring --in in/18.jpeg --out out/water9893.jpg --command ""s.brightness=-0.7&s.saturation=-0.6&format=png""",0.012879
93,"imageflow_tool v1/querystring --in in/9.webp --out out/water9891.jpg --command ""s.contrast=-0.2&h=200&s.contrast=0.9&rotate=270""",0.062143
94,"imageflow_tool v1/querystring --in in/29.jpg --out out/water9894.jpg --command ""srotate=90&w=400&format=png&png.quality=30""",0.694953
95,"imageflow_tool v1/querystring --in in/15.jpg --out out/water9889.jpg --command ""s.saturation=-0.2&format=png&s.brightness=0.2&s.brightness=0.4""",0.217038
96,"imageflow_tool v1/querystring --in in/42.webp --out out/water9888.jpg --command ""s.brightness=0.6&s.grayscale=true&f.sharpenwhen=always&f.sharpen=50&flip=x""",0.172357
97,"imageflow_tool v1/querystring --in in/22.jpg --out out/water9947.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=80&s.alpha=0.1&s.alpha=0.2""",8.041015
98,"imageflow_tool v1/querystring --in in/48.jpg --out out/water9985.jpg --command ""s.alpha=0.6&rotate=180&f.sharpenwhen=always&f.sharpen=10""",10.445706
99,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9926.jpg --command ""h=600&format=jpeg&jpeg.turbo=true&jpeg.quality=100&h=200&s.alpha=1.0&format=webp&webp.lossless=true""",7.230051
100,"imageflow_tool v1/querystring --in in/9.webp --out out/water9895.jpg --command ""rotate=90&format=jpeg&s.grayscale=sepia&s.alpha=0.9""",2.856479
101,"imageflow_tool v1/querystring --in in/14.jpg --out out/water9886.jpg --command ""s.alpha=0.9&s.brightness=0.3&s.contrast=-0.2&flip=y&format=png""",0.371261
102,"imageflow_tool v1/querystring --in in/30.jpg --out out/water9884.jpg --command ""s.contrast=-0.7&h=800&w=600&s.grayscale=sepia""",0.043131
103,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9885.jpg --command ""h=1000&s.contrast=-0.4&format=webp&webp.lossless=true""",0.455432
104,"imageflow_tool v1/querystring --in in/36.webp --out out/water9929.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=80&h=600&format=webp&webp.quality=70&rotate=90&s.contrast=0.8""",7.743946
105,"imageflow_tool v1/querystring --in in/18.jpeg --out out/water9880.jpg --command ""format=png&png.quality=60&rotate=90&s.grayscale=true&format=jpeg""",0.01618
106,"imageflow_tool v1/querystring --in in/1.jpeg --out out/water9878.jpg --command ""flip=xy&w=200&format=jpeg&s.alpha=0.3&s.brightness=-0.6""",0.297856
107,"imageflow_tool v1/querystring --in in/32.jpg --out out/water9882.jpg --command ""f.sharpenwhen=always&f.sharpen=40&format=png&png.quality=100&flip=y""",0.698573
108,"imageflow_tool v1/querystring --in in/4.jpg --out out/water9881.jpg --command ""rotate=270&s.contrast=0.4&s.contrast=-0.8&w=1000&format=webp&webp.lossless=true""",0.706941
109,"imageflow_tool v1/querystring --in in/13.jpg --out out/water9876.jpg --command ""format=webp&webp.lossless=true&w=600&s.grayscale=true&s.brightness=-0.5""",0.058164
110,"imageflow_tool v1/querystring --in in/9.webp --out out/water9874.jpg --command ""flip=x&h=800&format=png&png.quality=80&srotate=90&s.grayscale=true""",0.075311
111,"imageflow_tool v1/querystring --in in/20.webp --out out/water9873.jpg --command ""s.saturation=-0.8&s.saturation=-0.8&format=webp&webp.lossless=true&s.alpha=0.7&srotate=270""",0.279841
112,"imageflow_tool v1/querystring --in in/36.webp --out out/water9875.jpg --command ""format=webp&webp.lossless=true&format=webp&webp.quality=30&s.brightness=0.5&format=webp&webp.lossless=true""",0.872291
113,"imageflow_tool v1/querystring --in in/28.jpeg --out out/water9872.jpg --command ""rotate=270&s.contrast=-0.2&rotate=270""",0.1987
114,"imageflow_tool v1/querystring --in in/41.webp --out out/water9877.jpg --command ""format=jpeg&jpeg.turbo=true&jpeg.quality=60&w=200&s.contrast=-0.3&s.brightness=0.9""",1.212905
115,"imageflow_tool v1/querystring --in in/21.jpg --out out/water9931.jpg --command ""s.brightness=-1.0&format=jpeg&jpeg.turbo=true&s.alpha=0.4""",9.712234
116,"imageflow_tool v1/querystring --in in/6.jpg --out out/water9870.jpg --command ""format=webp&webp.quality=60&format=webp&webp.quality=10&format=png&png.quality=50&format=png&png.quality=80""",0.078432
117,"imageflow_tool v1/querystring --in in/7.webp --out out/water9869.jpg --command ""s.brightness=0.9&s.grayscale=true&s.contrast=0.4&format=png&s.saturation=0.5""",0.053918
118,"imageflow_tool v1/querystring --in in/44.webp --out out/water9901.jpg --command ""s.grayscale=true&srotate=270&format=jpeg""",5.677691
119,"imageflow_tool v1/querystring --in in/28.jpeg --out out/water9868.jpg --command ""rotate=180&s.grayscale=sepia&f.sharpenwhen=always&f.sharpen=10""",0.148799
120,"imageflow_tool v1/querystring --in in/13.jpg --out out/water9867.jpg --command ""f.sharpenwhen=always&f.sharpen=10&rotate=180&rotate=90""",0.106371
121,"imageflow_tool v1/querystring --in in/3.webp --out out/water9866.jpg --command ""h=1000&s.contrast=-0.9&s.grayscale=sepia&f.sharpenwhen=always&f.sharpen=90&format=png&png.quality=60""",0.05845
122,"imageflow_tool v1/querystring --in in/1.jpeg --out out/water9863.jpg --command ""s.saturation=-0.7&s.grayscale=true&f.sharpenwhen=always&f.sharpen=90&s.contrast=0.5&w=1000""",0.061753
123,"imageflow_tool v1/querystring --in in/37.webp --out out/water9862.jpg --command ""format=png&png.quality=100&s.brightness=-1.0&h=200&s.brightness=0.3&s.grayscale=sepia""",0.020944
124,"imageflow_tool v1/querystring --in in/9.webp --out out/water9861.jpg --command ""s.alpha=0.7&s.grayscale=sepia&w=800&s.brightness=0.3""",0.046259
125,"imageflow_tool v1/querystring --in in/35.webp --out out/water9859.jpg --command ""format=png&png.quality=90&s.brightness=-0.6&rotate=90&h=400""",0.16384
126,"imageflow_tool v1/querystring --in in/20.webp --out out/water9879.jpg --command ""format=jpeg&format=png&s.grayscale=true&format=webp&webp.quality=100&s.brightness=0.5""",2.576964
127,"imageflow_tool v1/querystring --in in/28.jpeg --out out/water9857.jpg --command ""srotate=270&s.contrast=-0.3&h=800&format=png&png.quality=80""",0.682599
128,"imageflow_tool v1/querystring --in in/33.jpg --out out/water9856.jpg --command ""s.alpha=0.3&srotate=180&format=png&png.quality=10&s.grayscale=true&s.grayscale=true""",0.16432
129,"imageflow_tool v1/querystring --in in/9.webp --out out/water9860.jpg --command ""format=jpeg&jpeg.turbo=true&h=1000&format=jpeg&s.grayscale=sepia""",1.37837
130,"imageflow_tool v1/querystring --in in/20.webp --out out/water9865.jpg --command ""flip=x&s.grayscale=true&s.brightness=0.1&format=jpeg""",2.814248
131,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9853.jpg --command ""s.contrast=0.1&s.saturation=-0.9&flip=x&rotate=180""",0.17836
132,"imageflow_tool v1/querystring --in in/44.webp --out out/water9852.jpg --command ""format=webp&webp.quality=30&format=png&s.grayscale=true&s.grayscale=sepia&s.alpha=0.4""",0.045198
133,"imageflow_tool v1/querystring --in in/2.jpg --out out/water9883.jpg --command ""s.alpha=0.3&format=jpeg&h=600&s.grayscale=true""",6.242923
134,"imageflow_tool v1/querystring --in in/47.webp --out out/water9850.jpg --command ""f.sharpenwhen=always&f.sharpen=80&f.sharpenwhen=always&f.sharpen=30&format=webp&webp.quality=20""",0.19076
135,"imageflow_tool v1/querystring --in in/waterhouse.jpg --out out/water9851.jpg --command ""format=png&png.quality=40&h=600&srotate=180&s.grayscale=sepia&format=jpeg&jpeg.turbo=true&jpeg.quality=30""",0.894668
136,"imageflow_tool v1/querystring --in in/10.jpg --out out/water9849.jpg --command ""srotate=180&format=png&png.quality=10&s.contrast=-0.9""",0.219372
137,"imageflow_tool v1/querystring --in in/35.webp --out out/water9969.jpg --command ""s.alpha=0.7&format=jpeg&jpeg.quality=0&format=jpeg&jpeg.turbo=true&s.brightness=0.2""",16.753179
138,"imageflow_tool v1/querystring --in in/22.jpg --out out/water9847.jpg --command ""f.sharpenwhen=always&f.sharpen=80&rotate=270&f.sharpenwhen=always&f.sharpen=50&s.contrast=-0.5""",0.149314
139,"imageflow_tool v1/querystring --in in/9.webp --out out/water9846.jpg --command ""s.grayscale=true&flip=y&srotate=90""",0.074045
140,"imageflow_tool v1/querystring --in in/22.jpg --out out/water9848.jpg --command ""format=webp&webp.lossless=true&s.alpha=0.9&rotate=90&s.grayscale=sepia&format=webp&webp.quality=40""",0.546746
141,"imageflow_tool v1/querystring --in in/24.jpg --out out/water9844.jpg --command ""s.contrast=-0.8&s.grayscale=true&format=png&png.quality=60&s.grayscale=true""",0.058942
142,"imageflow_tool v1/querystring --in in/8.jpeg --out out/water9843.jpg --command ""rotate=180&f.sharpenwhen=always&f.sharpen=30&rotate=270&s.contrast=0.9&format=webp&webp.lossless=true""",0.097723
143,"imageflow_tool v1/querystring --in in/30.jpg --out out/water9842.jpg --command ""rotate=90&format=webp&webp.lossless=true&rotate=270&s.brightness=-0.3""",0.264681
144,"imageflow_tool v1/querystring --in in/44.webp --out out/water9840.jpg --command ""s.contrast=-0.1&h=400&h=400&format=webp&webp.quality=100&s.saturation=0.7""",0.080681
145,"imageflow_tool v1/querystring --in in/39.webp --out out/water9858.jpg --command ""s.contrast=0.0&s.grayscale=true&w=600&s.grayscale=true&format=jpeg&jpeg.turbo=true""",4.986918
146,"imageflow_tool v1/querystring --in in/4.jpg --out out/water9841.jpg --command ""f.sharpenwhen=always&f.sharpen=80&format=png&png.quality=100&f.sharpenwhen=always&f.sharpen=80&s.contrast=0.4""",0.712919
147,"imageflow_tool v1/querystring --in in/41.webp --out out/water9838.jpg --command ""format=png&srotate=180&h=800&s.contrast=-0.9&s.alpha=0.8""",0.236974
148,"imageflow_tool v1/querystring --in in/27.jpg --out out/water9836.jpg --command ""format=png&h=1000&format=jpeg&jpeg.quality=30&srotate=180&h=600""",0.266166
149,"imageflow_tool v1/querystring --in in/36.webp --out out/water9835.jpg --command ""s.grayscale=sepia&f.sharpenwhen=always&f.sharpen=20&s.grayscale=true""",0.23601
150,"imageflow_tool v1/querystring --in in/waterhouse.jpg --out out/water9837.jpg --command ""f.sharpenwhen=always&f.sharpen=70&srotate=270&rotate=180""",0.794962
151,"imageflow_tool v1/querystring --in in/24.jpg --out out/water9834.jpg --command ""s.grayscale=sepia&s.grayscale=sepia&flip=x&s.grayscale=true&rotate=180""",0.0475
152,"imageflow_tool v1/querystring --in in/33.jpg --out out/water9833.jpg --command ""srotate=90&w=1000&format=jpeg&jpeg.turbo=true&jpeg.quality=0""",0.013046
153,"imageflow_tool v1/querystring --in in/27.jpg --out out/water9831.jpg --command ""format=png&f.sharpenwhen=always&f.sharpen=40&format=jpeg&jpeg.quality=10""",0.269512
154,"imageflow_tool v1/querystring --in in/42.webp --out out/water9932.jpg --command ""s.grayscale=true&flip=x&flip=y&flip=x&format=jpeg&jpeg.turbo=true&jpeg.quality=100""",17.26099
155,"imageflow_tool v1/querystring --in in/12.webp --out out/water9830.jpg --command ""s.grayscale=sepia&flip=x&rotate=90&format=webp&webp.quality=50""",0.038249
156,"imageflow_tool v1/querystring --in in/12.webp --out out/water9829.jpg --command ""format=webp&webp.quality=40&s.brightness=0.9&format=jpeg&s.contrast=0.0""",0.032948
157,"imageflow_tool v1/querystring --in in/45.webp --out out/water9892.jpg --command ""s.contrast=-0.7&format=jpeg&jpeg.quality=60&s.saturation=-0.5""",12.458329
158,"imageflow_tool v1/querystring --in in/29.jpg --out out/water9828.jpg --command ""s.contrast=-0.1&s.contrast=0.3&h=400&s.grayscale=sepia""",0.125419
159,"imageflow_tool v1/querystring --in in/5.jpg --out out/water9826.jpg --command ""format=webp&webp.quality=100&s.saturation=0.8&w=400&s.saturation=-0.1""",0.063114
160,"imageflow_tool v1/querystring --in in/41.webp --out out/water9887.jpg --command ""s.alpha=0.6&srotate=90&h=800&format=jpeg&jpeg.turbo=true&f.sharpenwhen=always&f.sharpen=20""",11.337888
